sentence,hedge_hits,is_forward_looking
"This transcript is provided for the convenience of investors only, for a full recording please see the Q1 2026 Earnings Call webcast.",0,False
"Operator Welcome, everyone.",0,False
Thank you for standing by for the Alphabet First Quarter 2026 Earnings Conference Call.,0,False
"At this time, all participants are in a listen only mode.",0,False
"After the speaker presentations, there will be a question and answer session.",0,False
"To ask a question during the session, you will need to press 1 on your telephone.",0,False
"I would now like to hand the conference over to your speaker today, Jim Friedland, Head of Investor Relations.",0,False
"Jim Friedland, Head of Investor Relations Thank you.",0,False
"Good afternoon everyone, and welcome to Alphabet's first quarter 2026 earnings conference call.",0,False
"With us today are Sundar Pichai, Philipp Schindler and Anat Ashkenazi.",0,False
Now I'll quickly cover the Safe Harbor.,0,False
"Some of the statements that we make today regarding our business, operations, and financial performance may be considered forward looking.",1,True
Such statements are based on current expectations and assumptions that are subject to a number of risks and uncertainties.,0,False
Actual results could differ materially.,0,False
"Please refer to our Forms 10-K and 10-Q, including the risk factors.",0,False
We undertake no obligation to update any forward looking statement.,1,True
"During this call, we will present both GAAP and non GAAP financial measures.",0,False
"A reconciliation of non GAAP to GAAP measures is included in today's earnings press release, which is distributed and available to the public through our Investor Relations website located at abc.xyzinvestor.",0,False
Our comments will be on year over year comparisons unless we state otherwise.,0,False
And now I'll turn the call over to Sundar.,0,False
"Sundar Pichai, CEO, Alphabet and Google Thanks, Jim.",0,False
"Hi, everyone, and thanks for joining us today.",0,False
It was a terrific quarter for Alphabet.,0,False
"Our momentum was on full display at Cloud Next last week, and the month of May brings even more with IO, Brandcast and GML.",0,False
I hope you'll tune in to see our progress.,0,False
It's clear that our AI investments and full stack approach are driving performance across our business.,0,False
"In Search & Other, revenue grew 19%.",0,False
"People love our AI experiences like AI Mode and AI Overviews, and they're coming back to Search more.",0,False
Cloud accelerated again this quarter due to strong demand for our AI products and infrastructure.,0,False
"Revenue grew 63%, exceeding $20 billion for the first time, and our backlog nearly doubled quarter on quarter to over $460 billion.",0,False
"Gemini Enterprise is seeing tremendous momentum, with 40% growth quarter over quarter in paid monthly active users.",0,False
"In Subscriptions, this was our strongest quarter ever for our consumer AI plans, primarily driven by adoption of the Gemini App.",1,True
"Overall, the number of paid subscriptions has now reached 350 million, with YouTube and Google One being the key drivers.",0,False
And our AI models have great momentum.,0,False
"Our first party models now process more than 16 billion tokens per minute via direct API use by our customers, up from 10 billion last quarter.",0,False
